,speaker,session,mic,prompt_id,has_spect,spect_width,spect_height,prompt,url,filepath,awstranslate
3905,M02,Session2,wav_arrayMic,170,yes,90,513,spain,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_arrayMic/0170.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_arrayMic/0170.wav,
640,F03,Session1,wav_arrayMic,169,yes,47,513,toot,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_arrayMic/0169.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_arrayMic/0169.wav,Two.
4022,M03,Session2,wav_headMic,51,yes,67,513,stubble,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0051.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0051.wav,Stubble.
4205,M03,Session2,wav_headMic,234,yes,64,513,rock,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0234.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0234.wav,Rock.
1566,F03,Session3,wav_arrayMic,84,yes,155,513,There was only one decision to be made.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0084.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0084.wav,There was only one decision to me.
1392,F03,Session3,wav_headMic,123,yes,161,513,Nobody really expects to evacuate.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0123.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0123.wav,Nobody really expects to evacuate.
1375,F03,Session3,wav_headMic,106,yes,53,513,zulu,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0106.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0106.wav,Silver.
5649,M05,Session1,wav_headMic,122,yes,135,513,feed,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session1/wav_headMic/0122.wav,/home/jovyan/work/data/TORGO/M05/Session1/wav_headMic/0122.wav,And
208,F01,Session1,wav_arrayMic,75,yes,57,513,warm,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F01/Session1/wav_arrayMic/0075.wav,/home/jovyan/work/data/TORGO/F01/Session1/wav_arrayMic/0075.wav,Warm.
3713,M02,Session2,wav_headMic,144,yes,68,513,eight,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_headMic/0144.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_headMic/0144.wav,
94,F01,Session1,wav_headMic,95,yes,45,513,glow,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F01/Session1/wav_headMic/0095.wav,/home/jovyan/work/data/TORGO/F01/Session1/wav_headMic/0095.wav,Go.
