,speaker,session,mic,prompt_id,has_spect,spect_width,spect_height,prompt,url,filepath,googletranslate
1367,F03,Session3,wav_headMic,98,yes,69,513,two,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0098.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0098.wav,2
2518,M01,Session1,wav_arrayMic,28,yes,165,513,jacket,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_arrayMic/0028.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_arrayMic/0028.wav,dragon
2077,F04,Session2,wav_headMic,186,yes,87,513,fill,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_headMic/0186.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_headMic/0186.wav,show
4800,M03,Session2,wav_arrayMic,413,yes,104,513,walk,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_arrayMic/0413.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_arrayMic/0413.wav,walk
2182,F04,Session2,wav_arrayMic,42,yes,160,513,I feel I can play this weekend.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0042.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0042.wav,I feel like I'm plays this weekend
2045,F04,Session2,wav_headMic,154,yes,82,513,rich,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_headMic/0154.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_headMic/0154.wav,rich
1225,F03,Session2,wav_arrayMic,400,yes,33,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0400.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0400.wav,
3189,M02,Session1,wav_headMic,27,yes,99,513,the,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0027.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0027.wav,Zara
3271,M02,Session1,wav_headMic,109,yes,74,513,bug,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0109.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0109.wav,
4285,M03,Session2,wav_headMic,314,yes,77,513,spark,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0314.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0314.wav,Spark
2994,M01,Session2_3,wav_arrayMic,119,yes,85,513,delta,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0119.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0119.wav,
1671,F03,Session3,wav_arrayMic,191,yes,169,513,She wore wore fleecy over wooden wool oh,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0191.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0191.wav,she work War 3 Co-op
2160,F04,Session2,wav_arrayMic,19,yes,141,513,I scrubbed the floors thoroughly.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0019.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0019.wav,I scrub the floor thoroughly
3351,M02,Session1,wav_headMic,189,yes,72,513,light,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0189.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0189.wav,life
710,F03,Session2,wav_headMic,35,yes,68,513,charlie,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_headMic/0035.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_headMic/0035.wav,Charlie
2707,M01,Session2_3,wav_headMic,118,yes,51,513,mut,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_headMic/0118.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_headMic/0118.wav,
5254,M04,Session2,wav_arrayMic,21,yes,47,513,yes,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0021.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0021.wav,yes
1684,F03,Session3,wav_arrayMic,205,yes,52,513,zip,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0205.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0205.wav,
650,F03,Session1,wav_arrayMic,179,yes,94,513,He will allow a rare lie.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_arrayMic/0179.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_arrayMic/0179.wav,Shiro allow where a lie
1340,F03,Session3,wav_headMic,71,yes,45,513,tort,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0071.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0071.wav,
2333,F04,Session2,wav_arrayMic,193,yes,155,513,A roll of wire lay near the wall.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0193.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0193.wav,a roll of wire linear the wall
4278,M03,Session2,wav_headMic,307,yes,61,513,november,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0307.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0307.wav,November
1875,F04,Session1,wav_arrayMic,183,yes,52,513,light,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session1/wav_arrayMic/0183.wav,/home/jovyan/work/data/TORGO/F04/Session1/wav_arrayMic/0183.wav,light
2447,M01,Session1,wav_headMic,57,no,None,None,sip,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session1/wav_headMic/0057.wav,/home/jovyan/work/data/TORGO/M01/Session1/wav_headMic/0057.wav,
5089,M04,Session2,wav_headMic,155,yes,254,513,I was conscious all the time.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0155.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0155.wav,what what what
2148,F04,Session2,wav_arrayMic,7,yes,52,513,play,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0007.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0007.wav,play
3857,M02,Session2,wav_arrayMic,121,yes,282,513,This is a period of transition for me.,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session2/wav_arrayMic/0121.wav,/home/jovyan/work/data/TORGO/M02/Session2/wav_arrayMic/0121.wav,this is good for your phone
1648,F03,Session3,wav_arrayMic,166,yes,71,513,fed,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_arrayMic/0166.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_arrayMic/0166.wav,
5444,M04,Session2,wav_arrayMic,213,yes,87,513,urgent,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0213.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0213.wav,urgent
3112,M01,Session2_3,wav_arrayMic,237,yes,61,513,nine,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0237.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0237.wav,
3361,M02,Session1,wav_headMic,199,yes,94,513,slay,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M02/Session1/wav_headMic/0199.wav,/home/jovyan/work/data/TORGO/M02/Session1/wav_headMic/0199.wav,play
1995,F04,Session2,wav_headMic,104,yes,137,513,pit,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_headMic/0104.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_headMic/0104.wav,pit
5021,M04,Session2,wav_headMic,87,yes,80,513,swarm,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0087.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0087.wav,swarm
750,F03,Session2,wav_headMic,75,yes,89,513,quebec,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_headMic/0075.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_headMic/0075.wav,Quebec
1454,F03,Session3,wav_headMic,185,yes,40,513,goose,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session3/wav_headMic/0185.wav,/home/jovyan/work/data/TORGO/F03/Session3/wav_headMic/0185.wav,goose
154,F01,Session1,wav_arrayMic,21,yes,90,513,dug,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F01/Session1/wav_arrayMic/0021.wav,/home/jovyan/work/data/TORGO/F01/Session1/wav_arrayMic/0021.wav,Doug
2308,F04,Session2,wav_arrayMic,168,yes,71,513,mike,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F04/Session2/wav_arrayMic/0168.wav,/home/jovyan/work/data/TORGO/F04/Session2/wav_arrayMic/0168.wav,Mike
2893,M01,Session2_3,wav_arrayMic,17,yes,113,513,beat,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M01/Session2_3/wav_arrayMic/0017.wav,/home/jovyan/work/data/TORGO/M01/Session2_3/wav_arrayMic/0017.wav,B
5331,M04,Session2,wav_arrayMic,98,yes,236,513,"Well, he is nearly ninety-three years old; ",https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_arrayMic/0098.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_arrayMic/0098.wav,main 3 years old
376,F03,Session1,wav_headMic,109,yes,37,513,farm,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session1/wav_headMic/0109.wav,/home/jovyan/work/data/TORGO/F03/Session1/wav_headMic/0109.wav,Farm
4060,M03,Session2,wav_headMic,89,yes,90,513,storm,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M03/Session2/wav_headMic/0089.wav,/home/jovyan/work/data/TORGO/M03/Session2/wav_headMic/0089.wav,storm
256,F01,Session1,wav_arrayMic,123,yes,66,513,down,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F01/Session1/wav_arrayMic/0123.wav,/home/jovyan/work/data/TORGO/F01/Session1/wav_arrayMic/0123.wav,go
4970,M04,Session2,wav_headMic,36,yes,79,513,knew,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M04/Session2/wav_headMic/0036.wav,/home/jovyan/work/data/TORGO/M04/Session2/wav_headMic/0036.wav,new
1237,F03,Session2,wav_arrayMic,412,yes,29,513,None,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/F03/Session2/wav_arrayMic/0412.wav,/home/jovyan/work/data/TORGO/F03/Session2/wav_arrayMic/0412.wav,French
5665,M05,Session1,wav_arrayMic,8,yes,73,513,up,https://s3.amazonaws.com/capstone-voice-for-all/TORGO/M05/Session1/wav_arrayMic/0008.wav,/home/jovyan/work/data/TORGO/M05/Session1/wav_arrayMic/0008.wav,
