speaker|session|mic|prompt_id|has_spect|spect_width|spect_height|prompt
F01|Session1|wav_headMic|0001|yes|320|513|[say Ah-P-Eee repeatedly]
F01|Session1|wav_headMic|0002|yes|295|513|[say Ah-P-Eee repeatedly]
F01|Session1|wav_headMic|0003|yes|242|513|[say Pah-Tah-Kah repeatedly]
F01|Session1|wav_headMic|0004|yes|301|513|[say Eee-P-Ah repeatedly]
F01|Session1|wav_headMic|0005|yes|240|513|[relax your mouth in its normal position]
F01|Session1|wav_headMic|0006|yes|44|513|stick
F01|Session1|wav_headMic|0007|yes|71|513|tear [as in tear up that paper]
F01|Session1|wav_headMic|0008|yes|308|513|Except in the winter when the ooze or snow or ice prevents,
F01|Session1|wav_headMic|0009|yes|40|513|pat
F01|Session1|wav_headMic|0010|yes|65|513|up
F01|Session1|wav_headMic|0011|yes|50|513|meat
F01|Session1|wav_headMic|0012|yes|52|513|meat
F01|Session1|wav_headMic|0013|yes|41|513|know
F01|Session1|wav_headMic|0014|yes|206|513|he slowly takes a short walk in the open air each day.
F01|Session1|wav_headMic|0015|yes|67|513|air
F01|Session1|wav_headMic|0016|yes|76|513|swarm
F01|Session1|wav_headMic|0017|yes|76|513|double
F01|Session1|wav_headMic|0018|yes|65|513|no
F01|Session1|wav_headMic|0019|yes|59|513|storm
F01|Session1|wav_headMic|0020|yes|153|513|Usually minus several buttons.
F01|Session1|wav_headMic|0021|yes|58|513|dug
F01|Session1|wav_headMic|0022|yes|156|513|You wished to know all about my grandfather.
F01|Session1|wav_headMic|0023|yes|67|513|[say OA as in cOAt in a very low pitch]
F01|Session1|wav_headMic|0024|yes|53|513|knee
F01|Session1|wav_headMic|0025|yes|73|513|feet
F01|Session1|wav_headMic|0026|yes|65|513|train
F01|Session1|wav_headMic|0027|yes|165|513|but he always answers, Banana oil!
F01|Session1|wav_headMic|0028|yes|113|513|but he always answers, Banana oil!
F01|Session1|wav_headMic|0029|yes|50|513|beat
F01|Session1|wav_headMic|0030|yes|151|513|The quick brown fox jumps over the lazy dog.
F01|Session1|wav_headMic|0031|yes|145|513|The quick brown fox jumps over the lazy dog.
F01|Session1|wav_headMic|0032|yes|237|513|She had your dark suit in greasy wash water all year.
F01|Session1|wav_headMic|0033|yes|28|513|car
F01|Session1|wav_headMic|0034|yes|28|513|feet
F01|Session1|wav_headMic|0035|yes|389|513|giving those who observe him a pronounced feeling of the utmost respect.
F01|Session1|wav_headMic|0036|yes|198|513|We have often urged him to walk more and smoke less,
F01|Session1|wav_headMic|0037|yes|57|513|rake
F01|Session1|wav_headMic|0038|yes|51|513|[say Eee in a very high pitch]
F01|Session1|wav_headMic|0039|yes|40|513|swore
F01|Session1|wav_headMic|0040|yes|43|513|rave
F01|Session1|wav_headMic|0041|yes|35|513|rave
F01|Session1|wav_headMic|0042|yes|25|513|for
F01|Session1|wav_headMic|0043|yes|55|513|sip
F01|Session1|wav_headMic|0044|yes|44|513|grow
F01|Session1|wav_headMic|0045|yes|36|513|bit
F01|Session1|wav_headMic|0046|yes|44|513|chair
F01|Session1|wav_headMic|0047|yes|43|513|one
F01|Session1|wav_headMic|0048|yes|60|513|fair
F01|Session1|wav_headMic|0049|yes|50|513|two
F01|Session1|wav_headMic|0050|yes|61|513|beta
F01|Session1|wav_headMic|0051|yes|44|513|rage
F01|Session1|wav_headMic|0052|yes|46|513|spark
F01|Session1|wav_headMic|0053|yes|41|513|swarm
F01|Session1|wav_headMic|0054|yes|36|513|beat
F01|Session1|wav_headMic|0055|yes|167|513|None
F01|Session1|wav_headMic|0056|yes|140|513|None
F01|Session1|wav_headMic|0057|yes|49|513|race
F01|Session1|wav_headMic|0058|yes|30|513|the
F01|Session1|wav_headMic|0059|yes|30|513|the
F01|Session1|wav_headMic|0060|yes|43|513|form
F01|Session1|wav_headMic|0061|yes|37|513|dark
F01|Session1|wav_headMic|0062|yes|34|513|sip
F01|Session1|wav_headMic|0063|yes|39|513|farm
F01|Session1|wav_headMic|0064|yes|48|513|raid
